[0412/210043.578:ERROR:scoped_process_suspend.cc(30)] NtSuspendProcess: An attempt was made to access an exiting process.  (0xc000010a)
[0412/210043.677:ERROR:process_info.cc(116)] ReadProcessMemory bool __cdecl crashpad::`anonymous-namespace'::ReadStruct<struct crashpad::process_types::PEB<struct crashpad::process_types::internal::Traits32>>(void *,unsigned __int64,struct crashpad::process_types::PEB<struct crashpad::process_types::internal::Traits32> *): Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0412/210043.716:ERROR:process_info.cc(559)] ReadProcessData failed
[0412/210043.716:ERROR:process_reader_win.cc(233)] ReadMemory at 0x644e7dc8 of 12 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0412/210043.717:WARNING:process_snapshot_win.cc(68)] ReadMemory ExceptionInformation failed
[0412/210043.717:WARNING:crash_report_exception_handler.cc(60)] ProcessSnapshotWin::Initialize failed
[0424/115426.416:ERROR:process_reader_win.cc(142)] SuspendThread: Access is denied. (0x5)
[0424/115426.488:ERROR:exception_snapshot_win.cc(87)] thread ID 10448 not found in process
[1122/153258.034:ERROR:prune_crash_reports.cc(35)] PruneCrashReportDatabase: Failed to get pending reports
[1122/175025.336:ERROR:registration_protocol_win.cc(83)] TransactNamedPipe: The pipe has been ended. (0x6D)
[1122/175255.717:ERROR:registration_protocol_win.cc(83)] TransactNamedPipe: The pipe has been ended. (0x6D)
[1122/175828.510:ERROR:registration_protocol_win.cc(83)] TransactNamedPipe: The pipe has been ended. (0x6D)
[1122/180123.682:ERROR:registration_protocol_win.cc(83)] TransactNamedPipe: The pipe has been ended. (0x6D)
[1122/180745.948:ERROR:registration_protocol_win.cc(83)] TransactNamedPipe: The pipe has been ended. (0x6D)
[1122/181048.104:ERROR:registration_protocol_win.cc(83)] TransactNamedPipe: The pipe has been ended. (0x6D)
[1122/181640.007:ERROR:registration_protocol_win.cc(83)] TransactNamedPipe: The pipe has been ended. (0x6D)
[1122/181839.486:ERROR:registration_protocol_win.cc(83)] TransactNamedPipe: The pipe has been ended. (0x6D)
[1122/182045.142:ERROR:registration_protocol_win.cc(83)] TransactNamedPipe: The pipe has been ended. (0x6D)
[1122/182334.717:ERROR:registration_protocol_win.cc(83)] TransactNamedPipe: The pipe has been ended. (0x6D)
[1122/182531.440:ERROR:registration_protocol_win.cc(83)] TransactNamedPipe: The pipe has been ended. (0x6D)
[1122/182644.930:ERROR:registration_protocol_win.cc(83)] TransactNamedPipe: The pipe has been ended. (0x6D)
[1122/182743.777:ERROR:registration_protocol_win.cc(83)] TransactNamedPipe: The pipe has been ended. (0x6D)
[1122/182835.468:ERROR:registration_protocol_win.cc(83)] TransactNamedPipe: The pipe has been ended. (0x6D)
[1122/182922.879:ERROR:registration_protocol_win.cc(83)] TransactNamedPipe: The pipe has been ended. (0x6D)
